UID,AN,PID,DN,DP,TN,RL,domain,entityName
"(UID, 5163db258109f2b)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 12)","(domain, sidereel.com)","(entityName, RhythmOne)"
"(UID, 278db5d33473ff3)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 13)","(domain, yume.com)","(entityName, RhythmOne)"
"(UID, af6d1be1b46f8c1)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 14)","(domain, yumenetworks.com)","(entityName, RhythmOne)"
"(UID, fc983f0ad0614ad)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 15)","(domain, fastly-insights.com)","(entityName, Fastly, Inc.)"
"(UID, 4f70bfb319d31dc)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 16)","(domain, fastly.com)","(entityName, Fastly, Inc.)"
"(UID, 71daedaf6fc9a59)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 17)","(domain, fastly.net)","(entityName, Fastly, Inc.)"
"(UID, 7b26472125ef476)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 18)","(domain, fastlylabs.com)","(entityName, Fastly, Inc.)"
"(UID, 2f720b59a90dcf9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 19)","(domain, 247-inc.net)","(entityName, 247 Customer Inc)"
"(UID, afae1247e7278f5)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 20)","(domain, 0m66lx69dx.com)","(entityName, Google LLC)"
"(UID, eb8a260f9fb4fb9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 21)","(domain, 1e100cdn.net)","(entityName, Google LLC)"
"(UID, 549e9f47d9c4e66)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 22)","(domain, 1emn.com)","(entityName, Google LLC)"
"(UID, a8eabede0d912f9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 23)","(domain, 1enm.com)","(entityName, Google LLC)"
"(UID, 2ffec42aeaed254)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 24)","(domain, 2enm.com)","(entityName, Google LLC)"
"(UID, 9d0e22b3752f760)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 25)","(domain, 2mdn.net)","(entityName, Google LLC)"
"(UID, 4afd1dd95877b53)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 26)","(domain, 8d1f.com)","(entityName, Google LLC)"
"(UID, 997324334f856a7)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 27)","(domain, accurateshooter.net)","(entityName, Google LLC)"
"(UID, f9fa559b05bcf75)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 28)","(domain, adgoogle.net)","(entityName, Google LLC)"
"(UID, fb821496b92f5a4)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 29)","(domain, admeld.com)","(entityName, Google LLC)"
"(UID, caf72b2537d24eb)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 30)","(domain, admob.com)","(entityName, Google LLC)"
"(UID, 0cd190e4ccb48a0)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 31)","(domain, adsense.com)","(entityName, Google LLC)"
"(UID, 54f1f9cb41d5073)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 32)","(domain, advertisercommunity.com)","(entityName, Google LLC)"
"(UID, 5534e2ccca2a9a2)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 33)","(domain, advertiserscommunity.com)","(entityName, Google LLC)"
"(UID, bc4c9ef3e46e972)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_domain_entity)","(RL, 34)","(domain, adwords-community.com)","(entityName, Google LLC)"
